hiany_id;hiany_eszkoznev;hiany_muszakicsop;hiany_muszakicsopnev
14198;Álló ventillátor HAUSER F-44;EE1302;Álló ventilátor
13187;FAVÁZAS TÁMLÁSSZÉK SZÖVET KÁRPITTAL (DB);BU0601;Favázas támlásszék
18303;Minikonyha mosogatótálcás NNI;EH9907;Mini Konyha
19284;De Longi kávéfőző EC5.1;EH0103;Kávéfőző
19354;Zanussi hűtőszekrény ZRG 15805WA;EH0204;Háztartási hűtőszekrény
19396;Mikrohullámú sütő Hausmeister Diana;EH0303;Mikrohullámú sütő klf. egyéb
19262;Gorenje kombinálthűtő R611;EH0204;Háztartási hűtőszekrény
15725;Támlás szék bordó szövettel (NNI);BU0601;Favázas támlásszék
3389;KONFERENCIA ASZTAL /ÖSSZECSUKHATÓ (DB);BA0701;Tárgyalóasztal klf.
19585;ADJ-H32 L3/K2 rejtett lövedékálló mellén;EF0406;Rejtett viselésű lövedékálló mellény
13606;Fényhíd;JT9901;Egyéb gépjármű  tartozék, alkatrész
18441;Rekeszes kulcstartó szekrény;BS9920;Szekrény egyéb klf.
13241;ÉTKEZŐASZTAL 6 SZEMÉLYES (DB);BA0202;Étkező asztal 6. személyes
8737;Szarvasi kávéfőző;EH0103;Kávéfőző
20020;Állványos elekt. kézfertőtlenítő adagoló;EL0000;Labortechnikai eszközök
11656;1 AJTÓS POLCOS IRATSZEKRÉNY;BS0102;1. ajtós szekrény
11662;1 AJTÓS AKASZTÓS SZEKRÉNY;BS0103;1 ajtós akasztós szekrény
11690;FAVÁZAS TÁMLÁSSZÉK SZÖVET KÁRPITTAL;BU0601;Favázas támlásszék
11637;ÍRÓASZTAL 134 CM-ES BÜKK;BA0302;Kisméretű íróasztal
11667;1 AJTÓS FELSŐ SZEKRÉNY;BS0501;1. ajtós felső szekrény
11691;FAVÁZAS TÁMLÁSSZÉK SZÖVET KÁRPITTAL;BU0601;Favázas támlásszék
11705;TÁRGYALÓASZTAL cseresznye 6 szem.;BA0701;Tárgyalóasztal klf.
11652;GÖRGŐS IRATSZEKRÉNY BÜKK;BS0603;Görgős irattároló
11664;1 AJTÓS AKASZTÓS SZEKRÉNY;BS0103;1 ajtós akasztós szekrény
17932;Bükk 90 fokos ív NNI;BA0401;Íves elem klf.
384;Töltő-ürítő lövedékcsapda;EE1011;Lövedékmegfogó berendezés
1044;Fotelágy (DB);BE0107;Fotelágy
976;Szarvasi espresso kávéfőző;EH9708;Egyéb elektromos háztartási asztali eszk
1966;Laptop - Dell Vostro 3568;SS03;Laptop
4108;Monitor - LG IPS;SS02;Monitor
3888;Laptop - Dell Vostro 3500;SS03;Laptop
1944;Laptop - Dell Vostro 3568;SS03;Laptop
1925;Laptop - Dell Vostro 3568;SS03;Laptop
1386;Laptop Dell Inspiron 15;SS03;Laptop
1667;Monitor - Dell Inspiron 5559;SS02;Monitor
2627;"Monitor- DELL LCD Monitor 23""";SS02;Monitor
1421;Laptop Dell Inspiron;SS03;Laptop
2662;Projektor - BENQ MW535;KK01;Projektor
1941;Laptop - Dell Vostro 3568;SS03;Laptop
1422;Laptop Dell Inspiron;SS03;Laptop
4120;Monitor - LG IPS;SS02;Monitor
3350;Laptop - Dell NB Vostro 3590;SS03;Laptop
1904;Projektor - CP-X3042WN;KK01;Projektor
2681;Monitor - AOC I2490VXQ/BT;SS02;Monitor
2462;Mosógép- Electrolux EWS1276CI;EH13;Mosógép
1423;Laptop DELL Inspiron 15;SS03;Laptop
1939;Laptop - Dell Vostro 3568;SS03;Laptop
3673;Laptop - ASUS VivoBook S15;SS03;Laptop
2160;"Laptop - Acer 11.6"" HD Intel Celeron";SS03;Laptop
1644;SWITCH LINKSYS 8 PORTOS EZXS88W;SH05;Switch
3852;Laptop - DELL Latitude 3520;SS03;Laptop
1947;Laptop - Dell Vostro 3568;SS03;Laptop
1427;Laptop DELL Inspiron;SS03;Laptop
1946;Laptop - Dell Vostro 3568;SS03;Laptop
3045;"Monitor- LG IPS 23,8""";SS02;Monitor
1972;Laptop - Dell Vostro 3568;SS03;Laptop
2716;Laptop - Dell G3 15 Gaming Black;SS03;Laptop
3276;Laptop - ACER Nitro 5;SS03;Laptop
1905;Monitor - AOC Gaming LED;SS02;Monitor
2796;Monitor - PHILIPS 243V7QJABF;SS02;Monitor
3043;Laptop- ASUS VivoBook S15;SS03;Laptop
49;SWITCH CISCO SE2500;SH02;Switch, Hub, Gateway
2544;Laptop- DELL Vostro 3568;SS03;Laptop
3564;"Monitor Dell P2419H 24"" LED";SS02;Monitor
2503;Monitor- LG LED monitor;SS02;Monitor
2680;Laptop - Dell Vostro 3568;SS03;Laptop
3013;Notebook - ASUS VivoBook 15X 512FA-BQ685;SS03;Laptop
2529;Monitor- Philips 243V7QDAB/00 LED;SS02;Monitor
1867;Monitor - DELL LCD;SS02;Monitor
3126;Számítógép- ASUS VivoMini PC;SS03;Laptop
2825;Monitor - Philips 243V7QJABF/00;SS02;Monitor
2992;Laptop- ASUS FX505DYAL071;SS03;Laptop
2991;Laptop- ASUS ROG-STRIX-RTX2060-O6G;SS03;Laptop
768;asztal kiegészítő 90 fokos elem;BA04;Kiegészítők asztalhoz
1443;Számitógép DELL Optiplex 7020MT;SS03;Laptop
2788;Monitor - Dell S2419H;SS02;Monitor
93;CANON FÉNYMÁSOLÓ;KI02;Fénymásoló, Multifunkciós eszköz
2986;Laptop- Lenovo Thinkpad T460s;SS03;Laptop
3065;Számítógép- ASUS VivoMini UN65U-M005M;SS01;Számítógép
2538;Számítógép-  DELL Optiplex 3050 Small;SS01;Számítógép
2981;Laptop- ACER Swift 3;SS03;Laptop
1754;Laptop - Dell Optiplex 3040MT;SS03;Laptop
1902;Számítógép - DELL PC Optiplex;SS01;Számítógép
3072;Nyomtató - Canon PIXMA MG2555S B;SN01;Nyomtató
2479;Számítógép;SS01;Számítógép
2958;"Laptop- ASUS X512FB-BQ219 15.6""";SS03;Laptop
3135;Monitor- Philips 243V7QJABF;SS02;Monitor
2525;Számítógép;SS01;Számítógép
1758;Laptop - Dell Optiplex 3040MT;SS03;Laptop
2806;Monitor - ASUS VivoBook 15 szürke;SS03;Laptop
2536;Laptop- DELL Vostro 3568;SS03;Laptop
2543;Számítógép-  Imperium Core i5;SS01;Számítógép
2838;Monitor - LG 29UM69G LED;SS02;Monitor
3336;Monitor - DELL P2419H;SS02;Monitor
2542;Számítógép-  DELL Optiplex 3050 Small;SS01;Számítógép
2765;Laptop - NAVON Loop 360;SS03;Laptop
3980;Asztal - Hoxo sarkos FalproVOG;BA99;Egyéb asztal
2833;Monitor - ASUS ROG Strix XG27VQ;SS02;Monitor
2738;Laptop - Lenovo T430 i5 3320M;SS03;Laptop
2659;Számítógép;SS01;Számítógép
3258;"Monitor- Philips IPS 23,8""";SS02;Monitor
2667;Számítógép - Acer Revo RN76;SS01;Számítógép
2754;Laptop - Lenovo Ideapad 330 81DE00WVHV;SS03;Laptop
2745;Laptop - Lenovo IdeaPad Y530 81FV00T5HV;SS03;Laptop
132;Monitor HP L2245wg;SS02;Monitor
1903;Projektor - EPSON EB-W05;KK01;Projektor
92;CANON FÉNYMÁSOLÓ iR1022iF;KI02;Fénymásoló, Multifunkciós eszköz
2748;"Monitor - Samsung 27"" C27HG70QQU";SS02;Monitor
3913;Laptop - Dell Latitude 5520;SS03;Laptop
2699;Laptop - LENOVO Ideapad D330;SS03;Laptop
3961;Konténer - FalproCON;BS06;Görgős, fiókos szekrény
2687;Számítógép - TOSHIBA 3TB;SS01;Számítógép
2698;Laptop - Asus VivoBook S530UN-BQ082;SS03;Laptop
3246;Számítógép- DELL Precision T7810;SS01;Számítógép
2661;Monitor- LG 24MP88HV-S;SS02;Monitor
2671;Monitor - AOC IPS;SS02;Monitor
2688;Számítógép - ASUS VivoMini PC PN40;SS01;Számítógép
2760;Számítógép - Intel Core i5;SS01;Számítógép
2987;"Monitor- AOC 32""";SS02;Monitor
2790;Számítógép - INTEL i5;SS01;Számítógép
3453;Monitor - DELL P2720D;SS02;Monitor
3594;Dell Latitude 3510 notebook Ci5;SS03;Laptop
3334;Számítógép - Dell Optiplex 3070minitower;SS01;Számítógép
2841;Számítógép - ASUS;SS01;Számítógép
3019;Számítógép - Fujitsu Celsius R670;SS01;Számítógép
3440;Monitor - DELL U2719DC;SS02;Monitor
3023;Számítógép - AMD Ryzen 5;SS01;Számítógép
3441;Monitor - DELL U2719DC;SS02;Monitor
2664;Laptop - Asus TUF Gaming FX504GE;SS03;Laptop
2650;Laptop- ASUS UX331UA;SS03;Laptop
2457;Laptop- ACER TravelMate B117-M-P16Q;SS03;Laptop
3060;Laptop- HP 255 G7;SS03;Laptop
3077;Laptop - ASUS UX331FN-EG023T;SS03;Laptop
3721;Laptop - Acer Aspire 5830;SS03;Laptop
2632;LAptop- ASUS Zenbook Flip UX360CA;SS03;Laptop
3035;Számítógép- Fujitsu Celsius R920;SS01;Számítógép
3081;Számítógép - AMD Ryzen 3;SS01;Számítógép
3461;Számítógép - Sistem Tower I5 Supernova;SS01;Számítógép
1901;Számítógép - DELL PC Optiplex;SS01;Számítógép
3814;Szék - TEODORES;BU01;Szék
3976;Asztal - Hoxo sarkos FalproVOG;BA99;Egyéb asztal
3962;Konténer - FalproCON;BS06;Görgős, fiókos szekrény
3940;Szék - SE-CLOUL20 karfás tárgyaló;BU01;Szék
3941;Szék - SE-CLOUL20 karfás tárgyaló;BU01;Szék
3977;Asztal - Hoxo sarkos FalproVOG;BA99;Egyéb asztal
1447;LAPTOP DELL Optiplex 7020MT;SS03;Laptop
2654;"Monitor- AOC IPS 23,8"" I2490VXQ/BT";SS02;Monitor
2548;Laptop- ASUS X540LA;SS03;Laptop
2805;Monitor - ASUS X543UA-DM1706 szürke;SS03;Laptop
1922;Számítógép - DELL PC Optiplex;SS01;Számítógép
3435;Számítógép - PST i5-10600KF;SS01;Számítógép
3280;Számítógép - Raspberry Pi 4;SS01;Számítógép
3263;Számítógép - ASUS ROG Strix B550-F;SS01;Számítógép
