hiany_id;hiany_eszkoznev;hiany_muszakicsop;hiany_muszakicsopnev;tobblet_id;tobblet_eszkoznev;tobblet_muszakicsop;toblet_muszakicsopnev
1827;Notebook - Dell Inspiron 5559;SS03;Laptop;4368;Laptop - Inspiron 5559;SS03;Laptop
1827;Notebook - Dell Inspiron 5559;SS03;Laptop;5320;Laptop - Inspiron 5559;SS03;Laptop
3289;Mobiltelefon - Huawei P40 Lite DS;KT04;Mobiltelefon;5249;mobiltelefon Huawei p40 light;KT04;Mobiltelefon
3289;Mobiltelefon - Huawei P40 Lite DS;KT04;Mobiltelefon;5464;LG Monitor;SS02;Monitor
3553;MikroTik Router Switch;SH01;Router;5252;Switch MikroTik could swich;SH99;Egyéb hálózati eszköz
3553;MikroTik Router Switch;SH01;Router;5333;Switch;SH99;Egyéb hálózati eszköz
708;SWITCH HP V1910-16G;SH05;Switch;5254;Switch hp;SH99;Egyéb hálózati eszköz
708;SWITCH HP V1910-16G;SH05;Switch;5332;Switch hp;SH99;Egyéb hálózati eszköz
2469;Laptop- DELL Inspiron 15 3000 Black;SS03;Laptop;4173;Laptop Dell Vostro 15 3000;SS03;Laptop
2469;Laptop- DELL Inspiron 15 3000 Black;SS03;Laptop;4398;Laptop DELL Vostro 15 3000;SS03;Laptop
2504;"Laptop- DELL Inspiron 7577 15.6"" FHD";SS03;Laptop;5002;laptop Dell inspiron;SS03;Laptop
2504;"Laptop- DELL Inspiron 7577 15.6"" FHD";SS03;Laptop;4733;Laptop DELL;SS03;Laptop
1387;LAPTOP DELL INSPIRON N5110;SS03;Laptop;5012;Laptop - Inspiron 15R N5110;SS03;Laptop
1387;LAPTOP DELL INSPIRON N5110;SS03;Laptop;5002;laptop Dell inspiron;SS03;Laptop
1394;Laptop Dell Inspiron N5010;SS03;Laptop;5002;laptop Dell inspiron;SS03;Laptop
1394;Laptop Dell Inspiron N5010;SS03;Laptop;4733;Laptop DELL;SS03;Laptop
1384;Laptop-Dell NB Inspiron;SS03;Laptop;5002;laptop Dell inspiron;SS03;Laptop
1384;Laptop-Dell NB Inspiron;SS03;Laptop;4733;Laptop DELL;SS03;Laptop
1395;Laptop-Lenovo IdeOad G50-80;SS03;Laptop;4868;Laptop;SS03;Laptop
1395;Laptop-Lenovo IdeOad G50-80;SS03;Laptop;5460;Laptop Dell;SS03;Laptop
1741;Laptop - Dell Inspiron 5559;SS03;Laptop;4368;Laptop - Inspiron 5559;SS03;Laptop
1741;Laptop - Dell Inspiron 5559;SS03;Laptop;5320;Laptop - Inspiron 5559;SS03;Laptop
3063;"Notebook- HP 255 G7 15.6""";SS03;Laptop;4869;Notebook;SS03;Laptop
3063;"Notebook- HP 255 G7 15.6""";SS03;Laptop;5016;Laptop - HP ;SS03;Laptop
2952;Notebook- ASUS X540UB-GQ758;SS03;Laptop;4869;Notebook;SS03;Laptop
2952;Notebook- ASUS X540UB-GQ758;SS03;Laptop;4653;Laptop Asus;SS03;Laptop
3068;Laptop - MSI GF63 Thin 9SC;SS03;Laptop;4868;Laptop;SS03;Laptop
3068;Laptop - MSI GF63 Thin 9SC;SS03;Laptop;5460;Laptop Dell;SS03;Laptop
3201;Laptop - Lenovo Legion Y540;SS03;Laptop;4868;Laptop;SS03;Laptop
3201;Laptop - Lenovo Legion Y540;SS03;Laptop;5460;Laptop Dell;SS03;Laptop
3475;Laptop - HP15s-fq1036nh;SS03;Laptop;4868;Laptop;SS03;Laptop
3475;Laptop - HP15s-fq1036nh;SS03;Laptop;5460;Laptop Dell;SS03;Laptop
2686;Laptop - ASUS X540LA XX1032T;SS03;Laptop;4653;Laptop Asus;SS03;Laptop
2686;Laptop - ASUS X540LA XX1032T;SS03;Laptop;4871;Laptop Asus Inspiron;SS03;Laptop
2672;Laptop - ASUS E406-62T;SS03;Laptop;4653;Laptop Asus;SS03;Laptop
2672;Laptop - ASUS E406-62T;SS03;Laptop;4871;Laptop Asus Inspiron;SS03;Laptop
3099;Laptop - Acer Predator Helios 300;SS03;Laptop;4868;Laptop;SS03;Laptop
3099;Laptop - Acer Predator Helios 300;SS03;Laptop;5315;laptop Acer netbook;SS03;Laptop
2294;"Laptop - Acer 11.6"" HD Intel Celeron";SS03;Laptop;4868;Laptop;SS03;Laptop
2294;"Laptop - Acer 11.6"" HD Intel Celeron";SS03;Laptop;5315;laptop Acer netbook;SS03;Laptop
3447;Laptop - Asus VivoBook S15;SS03;Laptop;4653;Laptop Asus;SS03;Laptop
3447;Laptop - Asus VivoBook S15;SS03;Laptop;4871;Laptop Asus Inspiron;SS03;Laptop
3309;Laptop - LENOVO 81Y40088HV;SS03;Laptop;4868;Laptop;SS03;Laptop
3309;Laptop - LENOVO 81Y40088HV;SS03;Laptop;5460;Laptop Dell;SS03;Laptop
3249;Laptop- ASUS ROG Zephyrus G14;SS03;Laptop;4653;Laptop Asus;SS03;Laptop
3249;Laptop- ASUS ROG Zephyrus G14;SS03;Laptop;4871;Laptop Asus Inspiron;SS03;Laptop
3243;Laptop- LENOVO 15.6FHD Ryzen5-3500U 8GB;SS03;Laptop;4868;Laptop;SS03;Laptop
3243;Laptop- LENOVO 15.6FHD Ryzen5-3500U 8GB;SS03;Laptop;4201;Laptop - Vostro 15 3568;SS03;Laptop
3233;Laptop - HP 14s-DQ1004NH;SS03;Laptop;5016;Laptop - HP ;SS03;Laptop
3233;Laptop - HP 14s-DQ1004NH;SS03;Laptop;5000;laptop hp;SS01;Számítógép
3232;Laptop - Asus VivoBook S14 S412FA;SS03;Laptop;4653;Laptop Asus;SS03;Laptop
3232;Laptop - Asus VivoBook S14 S412FA;SS03;Laptop;4871;Laptop Asus Inspiron;SS03;Laptop
3221;Laptop - ASUS ZenBook;SS03;Laptop;4653;Laptop Asus;SS03;Laptop
3221;Laptop - ASUS ZenBook;SS03;Laptop;4871;Laptop Asus Inspiron;SS03;Laptop
3220;Laptop - ASUS FX506IU-AL404C;SS03;Laptop;4653;Laptop Asus;SS03;Laptop
3220;Laptop - ASUS FX506IU-AL404C;SS03;Laptop;4871;Laptop Asus Inspiron;SS03;Laptop
3419;Laptop - ASUS TUF;SS03;Laptop;4653;Laptop Asus;SS03;Laptop
3419;Laptop - ASUS TUF;SS03;Laptop;4871;Laptop Asus Inspiron;SS03;Laptop
3365;Laptop - Lenovo IdeaPad;SS03;Laptop;4868;Laptop;SS03;Laptop
3365;Laptop - Lenovo IdeaPad;SS03;Laptop;5460;Laptop Dell;SS03;Laptop
2446;Laptop- ACER TravelMate B117-M-P16Q;SS03;Laptop;4868;Laptop;SS03;Laptop
2446;Laptop- ACER TravelMate B117-M-P16Q;SS03;Laptop;5315;laptop Acer netbook;SS03;Laptop
