hiany_id;hiany_eszkoznev;hiany_muszakicsop;hiany_muszakicsopnev;tobblet_id;tobblet_eszkoznev;tobblet_muszakicsop;toblet_muszakicsopnev
1947;Laptop - Dell Vostro 3568;SS03;Laptop;5329;Laptop - Vostro 15 3568;SS03;Laptop
1427;Laptop DELL Inspiron;SS03;Laptop;5002;laptop Dell inspiron;SS03;Laptop
1427;Laptop DELL Inspiron;SS03;Laptop;4733;Laptop DELL;SS03;Laptop
1946;Laptop - Dell Vostro 3568;SS03;Laptop;4201;Laptop - Vostro 15 3568;SS03;Laptop
1946;Laptop - Dell Vostro 3568;SS03;Laptop;5329;Laptop - Vostro 15 3568;SS03;Laptop
3045;"Monitor- LG IPS 23,8""";SS02;Monitor;5464;LG Monitor;SS02;Monitor
3045;"Monitor- LG IPS 23,8""";SS02;Monitor;4630;Monitor LG;SS02;Monitor
1972;Laptop - Dell Vostro 3568;SS03;Laptop;4201;Laptop - Vostro 15 3568;SS03;Laptop
1972;Laptop - Dell Vostro 3568;SS03;Laptop;5329;Laptop - Vostro 15 3568;SS03;Laptop
2716;Laptop - Dell G3 15 Gaming Black;SS03;Laptop;4573;Laptop - Dell G3 15 3590;SS03;Laptop
2716;Laptop - Dell G3 15 Gaming Black;SS03;Laptop;4588;Laptop - Dell G3 15 3590;SS03;Laptop
3276;Laptop - ACER Nitro 5;SS03;Laptop;4868;Laptop;SS03;Laptop
3276;Laptop - ACER Nitro 5;SS03;Laptop;5315;laptop Acer netbook;SS03;Laptop
1905;Monitor - AOC Gaming LED;SS02;Monitor;4922;monitor aoc;SS02;Monitor
1905;Monitor - AOC Gaming LED;SS02;Monitor;4820;Monitor AOC;SS02;Monitor
